,symbol
0,SI=F
1,LE=F
2,NG=F
3,ZC=F
4,ZS=F
5,HG=F
6,BTC=F
7,ETH=F
8,6A=F
9,ACD=F
10,AJY=F
11,ANE=F
12,6L=F
13,6B=F
14,PJY=F
15,PSF=F
16,6C=F
17,CZK=F
18,CZK=X
19,M6A=F
20,MCD=F
21,MSF=F
22,M6E=F
23,M6B=F
24,M6S=F
25,M6J=F
26,6E=F
27,E7=F
28,RP=F
29,ECD=F
30,RY=F
31,ENK=F
32,ESK=F
33,RF=F
34,MIR=F
35,SIR=F
36,ILS=F
37,ILS=X
38,6J=F
39,J7=F
40,KRW=X
41,6M=F
42,6N=F
43,NOK=F
44,NOK=X
45,PLN=F
46,PLN=X
47,6R=F
48,6Z=F
49,SEK=F
50,SEK=X
51,6S=F
52,SJY=F
53,CNH=F
54,CNH=X
55,AUDUSD=X
56,GBPUSD=X
57,USDCAD=X
58,EURUSD=X
59,USDJPY=X
60,NZDUSD=X
61,USDCHF=X
62,CL=F
63,MCL=F
64,HP=F
65,HH=F
66,QG=F
67,HO=F
68,RB=F
69,QU=F
70,EURAUD=X
71,EURGBP=X
72,EURCAD=X
73,EURDKK=X
74,EURJPY=X
75,EURNOK=X
76,EURSEK=X
77,EURCHF=X
78,CB=F
79,CSC=F
80,DY=F
81,LBS=F
82,DC=F
83,GDK=F
84,GNF=F
85,GNF=X
86,XC=F
87,ZO=F
88,ZR=F
89,XK=F
90,ZM=F
91,ZL=F
92,ZW=F
93,XW=F
94,AW=F
95,YM=F
96,MNQ=F
97,M2K=F
98,MES=F
99,NQ=F
100,BIO=F
101,NKD=F
102,NIY=F
103,RSG=F
104,RS1=F
105,RSV=F
106,RTY=F
107,ES=F
108,SDA=F
109,XAY=F
110,XAP=F
111,SDI=F
112,XAE=F
113,XAF=F
114,XAF=X
115,XAV=F
116,XAI=F
117,XAB=F
118,XAK=F
119,XAU=F
120,GD=F
121,EMD=F
122,ZN=F
123,N1U=F
124,ZT=F
125,Z3N=F
126,ZQ=F
127,ZF=F
128,F1U=F
129,GE=F
130,ZB=F
131,TN=F
132,UB=F
133,GF=F
134,HE=F
135,ALI=F
136,QC=F
137,HRC=F
138,MGC=F
139,GC=F
140,QO=F
141,PA=F
142,PL=F
143,QI=F
144,SIL=F
145,USDHKD=X
146,USDINR=X
147,USDIDR=X
148,USDMYR=X
149,USDPHP=X
150,USDSGD=X
151,USDKRW=X
152,USDTHB=X
153,USDCZK=X
154,USDDKK=X
155,USDHUF=X
156,USDNOK=X
157,USDPLN=X
158,USDRUB=X
159,USDSEK=X
160,USDBRL=X
161,USDEGP=X
162,USDILS=X
163,USDMXN=X
164,USDZAR=X
165,USDTND=X
166,RX=F
167,XAR=F
168,BZ=F
